Unnamed: 0,o_fnid,fnid,cnt,stime,etime
0,15063,15063,14.0,2022-10-10 00:00:01,2022-10-10 00:15:24
1,32974,32974,22.0,2022-10-10 00:00:01,2022-10-10 00:08:33
2,56799,56799,11.0,2022-10-10 00:00:02,2022-10-10 00:14:33
3,54131,54131,7.0,2022-10-10 00:00:03,2022-10-10 00:00:03
4,24421,24421,11.0,2022-10-10 00:00:03,2022-10-10 00:29:56
5,46158,46158,4.0,2022-10-10 00:00:03,2022-10-10 14:08:50
6,37371,37371,30.0,2022-10-10 00:00:03,2022-10-10 00:21:14
7,12962,12962,17.0,2022-10-10 00:00:03,2022-10-10 00:09:46
8,54131,54131,7.0,2022-10-10 00:00:03,2022-10-10 00:12:55
9,31179,31179,5.0,2022-10-10 00:00:03,2022-10-10 00:15:49
10,23599,23599,27.0,2022-10-10 00:00:03,2022-10-10 00:10:51
11,20755,20755,16.0,2022-10-10 00:00:04,2022-10-10 00:06:50
12,42967,42967,23.0,2022-10-10 00:00:04,2022-10-10 02:15:28
13,33668,33668,6.0,2022-10-10 00:00:04,2022-10-10 00:00:04
14,34397,34397,14.0,2022-10-10 00:00:04,2022-10-10 00:14:23
15,21475,21475,74.0,2022-10-10 00:00:04,2022-10-10 00:16:26
16,30165,30165,11.0,2022-10-10 00:00:04,2022-10-10 00:16:02
17,33668,33668,6.0,2022-10-10 00:00:04,2022-10-10 12:22:35
18,43976,43976,4.0,2022-10-10 00:00:04,2022-10-10 08:44:08
19,34741,34741,15.0,2022-10-10 00:00:04,2022-10-10 00:13:37
20,52542,52542,18.0,2022-10-10 00:00:05,2022-10-10 08:06:53
21,34043,34043,5.0,2022-10-10 00:00:05,2022-10-10 00:08:38
22,21578,21578,47.0,2022-10-10 00:00:05,2022-10-10 00:14:47
23,47504,47504,14.0,2022-10-10 00:00:05,2022-10-10 08:23:56
24,36661,36661,20.0,2022-10-10 00:00:05,2022-10-10 00:08:49
25,47504,47504,14.0,2022-10-10 00:00:05,2022-10-10 00:00:05
26,21819,21819,9.0,2022-10-10 00:00:05,2022-10-10 03:21:17
27,14058,14058,8.0,2022-10-10 00:00:06,2022-10-10 00:21:23
28,21469,21469,22.0,2022-10-10 00:00:06,2022-10-10 01:22:20
29,37368,37368,20.0,2022-10-10 00:00:06,2022-10-10 06:43:37
30,54131,54131,23.0,2022-10-10 00:00:06,2022-10-10 00:12:56
31,14056,14056,6.0,2022-10-10 00:00:06,2022-10-10 01:23:33
32,12919,12919,13.0,2022-10-10 00:00:06,2022-10-10 01:58:10
33,31185,31185,27.0,2022-10-10 00:00:06,2022-10-10 00:47:26
34,32591,32591,5.0,2022-10-10 00:00:06,2022-10-10 10:11:40
35,47335,47335,18.0,2022-10-10 00:00:06,2022-10-10 00:08:54
36,39726,39726,51.0,2022-10-10 00:00:06,2022-10-10 00:10:39
